	A549 cells, DMSO, 24h, rep1	A549 cells, DMSO, 24h, rep2	A549 cells, DMSO, 24h, rep3	A549 cells, RSL3, 24h, rep1	A549 cells, RSL3, 24h, rep2	A549 cells, RSL3, 24h, rep3	A549 cells, RSL3 and Fer-1, 24h, rep1	A549 cells, RSL3 and Fer-1, 24h, rep2	A549 cells, RSL3 and Fer-1, 24h, rep3
TIMM22	0.7084217039479508	0.44952814849991857	-1.510267634714606	-1.2766320341283464	0.4423539652429957	0.6280328539011725	-1.332763339215509	0.6752706727148721	0.38952298538515145
TIMM22	0.7084217039479508	0.44952814849991857	-1.510267634714606	-1.2766320341283464	0.4423539652429957	0.6280328539011725	-1.332763339215509	0.6752706727148721	0.38952298538515145
VASN	0.532728820438653	0.5079729300271125	-1.7818203805211998	0.5196744445957012	-1.3903277863507726	0.5979488561503542	-1.8186468584626976	0.4113516587745787	0.497063492273669
VASN	-1.3079181526423669	-1.920721856025539	0.4197861170309897	-1.922319508718258	0.5153037180040776	-1.0646392839291188	0.5078653965508688	-1.9032999944538531	-1.9159710899475262
BZW1P2	-1.9242352471785058	-0.25030008888379623	-1.008998607936203	0.26486312911153115	-1.9241779197814324	0.24443212750590218	-1.9158285376992241	-1.9032999944538531	0.47707304953986757
ENSG00000288894	0.2187780818786213	0.28758230721103306	-1.9214176870622146	-0.10529516742258986	-1.9241779197814324	-0.05741109148961069	0.20631842469625633	0.31208103685591343	-1.9159710899475262
ENSG00000288725	-1.9242352471785058	-1.920721856025539	0.29845415048415175	-1.922319508718258	-1.675951743704443	-0.0470942581092661	0.1007692614201037	-1.9032999944538531	0.0062876414123596664
GATAD2B	1.5718510812183155	1.5605615552637573	1.6112328683506345	1.6166464127970546	1.4282325802476317	1.585543477730942	1.6152232106512316	1.639120744553877	1.6081313797363963
GATAD2B	0.5091439483422686	0.5830089866817331	-0.018819960078073742	-1.585592138240628	1.136381038348607	0.6280328539011725	-1.8186468584626976	-0.4282543973624377	0.4289353727395782
ZBTB22	-1.4683689053168982	-1.4445996257470852	0.25547344998801763	-0.6804501117903579	0.24903990785872793	0.16692502178748206	0.094878675298882	0.18971120021705082	0.03970893426862651
ZBTB22	0.1805984474551992	0.2587947027879246	-1.9214176870622146	0.2098086309134909	-1.675951743704443	-1.9274003973620784	-1.482966520036879	-1.9032999944538531	-0.17856218675928573
ENSG00000263322	0.13058884015920663	-1.920721856025539	-1.9214176870622146	-0.008043472444503517	-1.9241779197814324	-0.08727275518638657	-1.9158285376992241	-1.9032999944538531	-0.012385974650299537
